Abreviación;Abrev. Guest;Descripción;Resultado;Rótulo;Muestra;Del Host;Al Guest;Al Host;Método;Unidades;Val. Ref. 1;Val. Ref. 2;Val. Ref. 3;Val. Ref. 4;Val. Ref. 5
;3538LM8;;CD 8 %;E.D.T.A;0;Si;Si;Si;CITOMETRIA de FLUJO;%;19 a 40;;;;
;C82;;CD8 TOTALES;E.D.T.A;0;Si;Si;Si;;/mm3;;;;;
CEA;144;CEA ANTIG CARCINOEMBRIONARIO;ANTIG.CARCINOEMBRIONARIO -CEA-;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;No Fumadores: menor a 3.0 ng/ml     Fumadores: menor a 5.0;;;;
;CEA;;ANTIG.CARCINOEMBRIONARIO -CEA-;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;No Fumadores: menor a 3.0 ng/ml     Fumadores: menor a 5.0;;;;
CER;151;CERULOPLASMINA;CERULOPLASMINA;SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 15 a 30 mg/dl   Mujeres: 16 a 45;;;;
;CER;;CERULOPLASMINA;SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;Hombres: 15 a 30 mg/dl   Mujeres: 16 a 45;;;;
CHAE M;242;CHAGAS ELISA IGM;CHAGAS ELISA IgM;SUERO;0;Si;Si;Si;Elisa IgM;;Negativo  Valor de corte 1/30;;;;
CHM;242;CHAGAS IFI IgM;SEROLOGIA PARA CHAGAS;SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta IgM;;Negativo;;;;
;CHA-M;;SEROLOGIA PARA CHAGAS;SUERO;0;No;Si;Si;Inmunofluorescencia indirecta IgM;;Negativo;;;;
CHAI;783;CHAGAS INMUNOFLUORESCENCIA;ANTICUERPOS ANTI TRIPANOSOMA CRUZI (CHAGAS IFI);SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;V.R. : Negativo;;;;
;CHI;;ANTICUERPOS ANTI TRIPANOSOMA CRUZI (CHAGAS IFI);SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;V.R. : Negativo;;;;
CMV G;582;CITOMEGALOVIRUS ANTIC. IgG;ANTICUERPO ANTI-CITOMEGALOVIRUS;SUERO;0;Si;Si;Si;Quimioluminiscencia;UA/ml;Negativo: menor a 6.0 UA/ml  Positivo: mayor o igual 6.0 UA/ml;;;;
;CMV;;ANTICUERPO ANTI-CITOMEGALOVIRUS;SUERO;0;No;Si;Si;Quimioluminiscencia;UA/ml;Negativo: menor a 6.0 UA/ml  Positivo: mayor o igual 6.0 UA/ml;;;;
CMV M;583;CITOMEGALOVIRUS ANTIC. IgM;ANTICUERPO ANTI-CITOMEGALOVIRUS;SUERO;0;Si;Si;Si;Enzimoinmunoenzayo;;Negativo: menor 0.85  Indeterminado: 0.85 a 0.99  Positivo: mayor o igual a 1.00;;;;
;CMM;;ANTICUERPO ANTI-CITOMEGALOVIRUS;SUERO;0;No;Si;Si;Enzimoinmunoenzayo;;Negativo: menor 0.85  Indeterminado: 0.85 a 0.99  Positivo: mayor o igual a 1.00;;;;
ANCA;ANCA;CITOPLASMA NEUTROFILO,AC ANTI (ANCA P o C) IFI;ANTICUERPOS ANTI CITOPLASMA DE NEUTRFILOS (ANCA);SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo  Interpretación:  +: Positivo débil  ++: Positivo moderado  +++: Positivo Fuerte;;;;
;88;;ANTICUERPOS ANTI CITOPLASMA DE NEUTRFILOS (ANCA);SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;Negativo  Interpretación:  +: Positivo débil  ++: Positivo moderado  +++: Positivo Fuerte;;;;
CU;177;COBRE EN SANGRE;COBRE en sangre;SUERO;0;Si;Si;Si;EFM - Espectrofotometría;ug/dl;Hombres: 70 - 150 ug/dl  Mujeres: 80 - 155;;;;
;CUS;;COBRE en sangre;SUERO;0;No;Si;Si;EFM - Espectrofotometría;ug/dl;Hombres: 70 - 150 ug/dl  Mujeres: 80 - 155;;;;
C50;179;COMPLEMENTO Actividad total (CH50);COMPLEMENTO CH 50 %;SUERO;0;Si;Si;Si;ELISA;U Eq/ml;;;;;
;COM;;COMPLEMENTO CH 50 %;SUERO;0;No;Si;Si;ELISA;U Eq/ml;;;;;
C3;180;COMPLEMENTO INMUNOQ. C3;COMPLEMENTO FRACCION C3;SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;82 a 193;;;;
;CM3;;COMPLEMENTO FRACCION C3;SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;82 a 193;;;;
C4;181;COMPLEMENTO INMUNOQ. C4;COMPLEMENTO FRACCION C4;SUERO;0;Si;Si;Si;Inmunoturbidimetría;mg/dl;10 a 40;;;;
;CM4;;COMPLEMENTO FRACCION C4;SUERO;0;No;Si;Si;Inmunoturbidimetría;mg/dl;10 a 40;;;;
COR;COR;CORTISOL PLASMATICO;CORTISOL PLASMATICO basal;SUERO;0;No;Si;Si;Quimioluminiscencia;ug/dl;De 4.3 a 22.4;;;;
;189;;CORTISOL PLASMATICO basal;SUERO;0;Si;Si;Si;Quimioluminiscencia;ug/dl;De 4.3 a 22.4;;;;
CKM;188;CPK-MB;CREATINFOSFOKIN.CARDIACA (CPK-MB);SUERO;0;Si;Si;Si;UV-Inmunológico;U/L;3.0 - 25.0;;;;
;CK-MB;;CREATINFOSFOKIN.CARDIACA (CPK-MB);SUERO;0;No;Si;Si;UV-Inmunológico;U/L;3.0 - 25.0;;;;
CROM A;566;CROMOGRANINA A;CROMOGRAMINA A;SUERO;0;Si;Si;Si;Radioinmunoensayo;ng/ml;Hasta 100;;;;
;CRG;;CROMOGRAMINA A;SUERO;0;No;Si;Si;Radioinmunoensayo;ng/ml;Hasta 100;;;;
DHEA;DHEA;DEHIDROEPIANDROSTERONA;DEHIDROEPIANDROSTERONA;SUERO;0;Si;Si;Si;Radioinmunoensayo;ng/ml;Hombre 0.9 - 9.6 ng/ml  Mujer 1.0 - 10.3;;;;
;DHEA;;DEHIDROEPIANDROSTERONA;SUERO;0;No;Si;Si;Radioinmunoensayo;ng/ml;Hombre 0.9 - 9.6 ng/ml  Mujer 1.0 - 10.3;;;;
DEH;262;DEHIDROEPIANDROSTERONA SULFATO (DHEA-S);Sulfato de DEHIDROEPIANDROSTERONA;SUERO;0;Si;Si;Si;Quimioluminscencia;ug/dl;Hombres adultos: 80 a 560 ug/dl  Mujeres adultas: 35 a 430 ug/dl  Prepúberes:Hasta 61 ug/dl;;;;
;DHS;;Sulfato de DEHIDROEPIANDROSTERONA;SUERO;0;No;Si;Si;Quimioluminscencia;ug/dl;Hombres adultos: 80 a 560 ug/dl  Mujeres adultas: 35 a 430 ug/dl  Prepúberes:Hasta 61 ug/dl;;;;
DENGUE M;DEN;DENGUE VIRUS ANTICUERPO  ANTI IgM;DENGUE ANTICUERPO IgM;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;;Negativo: Menor de 0.9  Indeterminado: De 0.9 a 1.1  Positivo: Mayor a 1.1;;;;
;DEN;;DENGUE ANTICUERPO IgM;SUERO;0;No;Si;Si;Enzimoinmunoensayo;;Negativo: Menor de 0.9  Indeterminado: De 0.9 a 1.1  Positivo: Mayor a 1.1;;;;
DENGUE G;534;DENGUEVIRUS  ANTICUERPO ANTI IgG;DENGUE ANTICUERPO IgG;SUERO;0;Si;Si;Si;Enzimoinmunoensayo;;Negativo: < 0.9  Indeterminado: 0.9-1.1  Positivo: > 1.1;;;;
;DEG;;DENGUE ANTICUERPO IgG;SUERO;0;No;Si;Si;Enzimoinmunoensayo;;Negativo: < 0.9  Indeterminado: 0.9-1.1  Positivo: > 1.1;;;;
DMD;807;"DIMERO ""D""";DIMERO D;CITRATO;0;No;Si;Si;Inmunoturbidimétrico;mg/l;Expresado en unidades FEU  Negativo : < 0.5 mg/l  Positivo : > 0.5;;;;
;807;;DIMERO D;CITRATO;0;Si;Si;Si;Inmunoturbidimétrico;mg/l;Expresado en unidades FEU  Negativo : < 0.5 mg/l  Positivo : > 0.5;;;;
DOP;211;DOPAMINA PLASMATICA;DOPAMINA PLASMATICA;BACTERIO;0;Si;Si;Si;HPLC;pg/ml.;0 a 90;;;;
;DOP;;DOPAMINA PLASMATICA;BACTERIO;0;No;Si;Si;HPLC;pg/ml.;0 a 90;;;;
EBV G;275;EPSTEIN BARR ANTI VCA IGG;ANTICUERPOS ANTI EPSTEIN BARR (VCA - IgG);SUERO;0;Si;Si;Si;Quimioluminiscencia;;No Reactivo: Menor a 0.75  Indeterminado: 0.75 a 0.99  Reactivo: mayor o igual 1.00;;;;
;VCAG;;ANTICUERPOS ANTI EPSTEIN BARR (VCA - IgG);SUERO;0;No;Si;Si;Quimioluminiscencia;;No Reactivo: Menor a 0.75  Indeterminado: 0.75 a 0.99  Reactivo: mayor o igual 1.00;;;;
EBV M;276;EPSTEIN BARR ANTI VCA IGM;ANTIC. ANTI EPSTEIN BARR (VCA-IgM);SUERO;0;Si;Si;Si;Quimioluminiscencia;;Negativo: menor 0.50  Indeterminado : 0.50 a 0.99  Positivo: mayor o igual 1.00;;;;
;VCAM;;ANTIC. ANTI EPSTEIN BARR (VCA-IgM);SUERO;0;No;Si;Si;Quimioluminiscencia;;Negativo: menor 0.50  Indeterminado : 0.50 a 0.99  Positivo: mayor o igual 1.00;;;;
EPY;281;ERITROPOYETINA;ERITROPOYETINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;mU/ml.;3.7 - 31.5;;;;
;EPO;;ERITROPOYETINA;SUERO;0;No;Si;Si;Quimioluminiscencia;mU/ml.;3.7 - 31.5;;;;
E2;300;ESTRADIOL PLASMASTICO;ESTRADIOL PLASMATICO;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml.;Hombre adulto: Hasta 39.8 pg/ml  Mujer fase folicular: 19.5 a 144.2 pg/ml  Mujer mitad del ciclo: 63.9 a 356.7 pg/ml  Mujer fase lútea: 55.8 a 214.2 pg/ml  Postmenopausia: menor de 32.2 pg/ml;;;;
;E2;;ESTRADIOL PLASMATICO;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml.;Hombre adulto: Hasta 39.8 pg/ml  Mujer fase folicular: 19.5 a 144.2 pg/ml  Mujer mitad del ciclo: 63.9 a 356.7 pg/ml  Mujer fase lútea: 55.8 a 214.2 pg/ml  Postmenopausia: menor de 32.2 pg/ml;;;;
E3;302;ESTRIOL en suero;ESTRIOL TOTAL SERICO;SUERO;0;Si;Si;Si;RADIOINMUNOENSAYO;ng/ml.;;;;;
;302;;ESTRIOL TOTAL SERICO;SUERO;0;No;Si;Si;RADIOINMUNOENSAYO;ng/ml.;;;;;
ESO;ETR;ESTRONA;ESTRONA;SUERO;0;No;Si;Si;Quimioluminiscencia;pg/ml;Hombre: 10-60 pg/ml  Muj.fase folicular: 50 a 100 pg/ml  Muj.fase lútea: 100 a 300 pg/ml  Muj.postmenopausia:10 a 60 pg/ml  Prepúberes: hasta 40;;;;
;305;;ESTRONA;SUERO;0;Si;Si;Si;Quimioluminiscencia;pg/ml;Hombre: 10-60 pg/ml  Muj.fase folicular: 50 a 100 pg/ml  Muj.fase lútea: 100 a 300 pg/ml  Muj.postmenopausia:10 a 60 pg/ml  Prepúberes: hasta 40;;;;
FENIT;340;FENITOINA;FENITOINA;SUERO;0;Si;Si;Si;Quimioluminiscencia;ug/ml;Rango terapéutico: 10.0 a 20.0;;;;
;340;;FENITOINA;SUERO;0;No;Si;Si;Quimioluminiscencia;ug/ml;Rango terapéutico: 10.0 a 20.0;;;;
FET;330;FERRITINA;FERRITINA;SUERO;0;Si;Si;Si;Quimioluniscencia;ng/ml;Hombre adulto: 20 a 320 ng/ml  Mujer adulta : 10 a 280;;;;
;FRR;;FERRITINA;SUERO;0;No;Si;Si;Quimioluniscencia;ng/ml;Hombre adulto: 20 a 320 ng/ml  Mujer adulta : 10 a 280;;;;
FIB;345;FIBRINOGENO EN SANGRE;FIBRINÓGENO;CITRATO;0;Si;Si;Si;Coagulométrico;mg/ml;Adultos: 200 a 400;;;;
;FIB;;FIBRINÓGENO;CITRATO;0;No;Si;Si;Coagulométrico;mg/ml;Adultos: 200 a 400;;;;
AFO;352;FOLICO ACIDO;ACIDO FOLICO;SUERO;0;Si;Si;Si;Quimioluminiscencia;ng/ml;Normal: mayor a 5.3;;;;
;FOL;;ACIDO FOLICO;SUERO;0;No;Si;Si;Quimioluminiscencia;ng/ml;Normal: mayor a 5.3;;;;
FAP;355;FOSFATASA ACIDA PROSTATICA;FOSFATASA ACIDA PROSTATICA;SUERO;0;Si;Si;Si;Andersch,M. y Fishman,W.;U/l;Hasta 4;;;;
;FAP;;FOSFATASA ACIDA PROSTATICA;SUERO;0;No;Si;Si;Andersch,M. y Fishman,W.;U/l;Hasta 4;;;;
FAT;356;FOSFATASA ACIDA TOTAL;FOSFATASA ACIDA TOTAL;SUERO;0;Si;Si;Si;Cinético - Colorimétrico;U/l;Hombres 6.6 U/l  Mujeres 6.5;;;;
;FAT;;FOSFATASA ACIDA TOTAL;SUERO;0;No;Si;Si;Cinético - Colorimétrico;U/l;Hombres 6.6 U/l  Mujeres 6.5;;;;
ALG;374;FRUCTOSAMINA;Fructosamina(2do.valor+grande);SUERO;0;Si;Si;Si;Colorimétrico (NBT);umol/l;Hasta 285 umol/l  En pacientes diabéticos sin tratamiento se observan valores de 228 a 563 umol/l;;;;
;FRU;;Fructosamina(2do.valor+grande);SUERO;0;No;Si;Si;Colorimétrico (NBT);umol/l;Hasta 285 umol/l  En pacientes diabéticos sin tratamiento se observan valores de 228 a 563 umol/l;;;;
FSH;FSH;FSH;F.S.H. PLASMATICA;SUERO;0;No;Si;Si;Quimioluminiscencia;mUI/ml;Hombre adulto: 1,4 a 18,1 mUl/ml  Mujer fase folicular: 2,5 a 10,2 mUl/ml  Mujer mitad del ciclo: 3,4 a 33,4 mUl/ml  Mujer fase lútea: 1,5 a 9,1 mUl/ml  Mujer postmenopausia: 23,0 a 116,3 mUl/ml;;;;
;370;;F.S.H. PLASMATICA;SUERO;0;Si;Si;Si;Quimioluminiscencia;mUI/ml;Hombre adulto: 1,4 a 18,1 mUl/ml  Mujer fase folicular: 2,5 a 10,2 mUl/ml  Mujer mitad del ciclo: 3,4 a 33,4 mUl/ml  Mujer fase lútea: 1,5 a 9,1 mUl/ml  Mujer postmenopausia: 23,0 a 116,3 mUl/ml;;;;
FTA;371;FTA-ABS por IFI (ac. totales);ANTICUERPOS ANTI TREPONEMA PALLIDUM;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Hasta 0.90: No reactivo  0.90 a 1.10: Indeterminado  Mayor a 1.10: Reactivo;;;;
;371;;ANTICUERPOS ANTI TREPONEMA PALLIDUM;SUERO;0;No;Si;Si;Quimioluminiscencia;;Hasta 0.90: No reactivo  0.90 a 1.10: Indeterminado  Mayor a 1.10: Reactivo;;;;
GLAE;857;GLOBULINATRANSP. DE ANDR-ESTROG.(GLAE);GLAE;SUERO;0;Si;Si;Si;Quimioluminiscencia;nmol/l;Hombre: 13 a 57 nmol/l  Mujer: 18 a 144;;;;
;GLAE;;GLAE;SUERO;0;No;Si;Si;Quimioluminiscencia;nmol/l;Hombre: 13 a 57 nmol/l  Mujer: 18 a 144;;;;
HAPS;463;HAPTOGLOBINA SERICA;HAPTOGLOBINA;SUERO;0;Si;Si;Si;Inmunoturbidimético;mg/dl;30 a 200;;;;
;HAP;;HAPTOGLOBINA;SUERO;0;No;Si;Si;Inmunoturbidimético;mg/dl;30 a 200;;;;
HPY A;HPA;HELICOBACTER PYLORI Elisa IgA;Antic.Anti  HELICOBACTER PYLORI IgA;SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;Negativo;;;;
;462;;Antic.Anti  HELICOBACTER PYLORI IgA;SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;Negativo;;;;
HPY G;464;HELICOBACTER PYLORI Elisa IgG;Antic.Anti HELICOBACTER PYLORI;SUERO;0;Si;Si;Si;Quimioluminiscencia;µUI/ml;Menor de 0.9 U/ml : No Reactivo  Entre 0.9 U/ml y 1.1 U/ml : Indeterminado  Mayor de 1.1 U/ml :Reactivo;;;;
;HPYG;;Antic.Anti HELICOBACTER PYLORI;SUERO;0;No;Si;Si;Quimioluminiscencia;µUI/ml;Menor de 0.9 U/ml : No Reactivo  Entre 0.9 U/ml y 1.1 U/ml : Indeterminado  Mayor de 1.1 U/ml :Reactivo;;;;
HPY M;465;HELICOBACTER PYLORI Elisa IgM;Antic.Anti HELICOBACTER PYLORI IgM;SUERO;0;Si;Si;Si;Inmunofluorescencia Indirecta;;Negativo  Valor de corte 1/64;;;;
;HPM;;Antic.Anti HELICOBACTER PYLORI IgM;SUERO;0;No;Si;Si;Inmunofluorescencia Indirecta;;Negativo  Valor de corte 1/64;;;;
HGY;414;HEMOGLOBINA GLICOSILADA;HEMOGLOBINA GLICOSILADA HBA 1C;E.D.T.A;0;No;Si;Si;Inmunológico turbidimétrico;%;de 4,80 a 5,90;;;;
;HBG;;HEMOGLOBINA GLICOSILADA HBA 1C;E.D.T.A;0;No;Si;Si;Inmunológico turbidimétrico;%;de 4,80 a 5,90;;;;
HAV Ac G;71;HEPAT. A  ANTIC.ANTI IgG;HVA-Ac IgG (ANTIC.ANTI-HEPATITIS A;SUERO;0;Si;Si;Si;Quimioluminiscencia;mUI/ml;No Reactivo: Menor de 20.0 mUI/ml  Reactivo: Igual o Mayor de 20.0;;;;
;HAG;;HVA-Ac IgG (ANTIC.ANTI-HEPATITIS A;SUERO;0;No;Si;Si;Quimioluminiscencia;mUI/ml;No Reactivo: Menor de 20.0 mUI/ml  Reactivo: Igual o Mayor de 20.0;;;;
HAV Ac M;HAM;HEPAT. A  ANTIC.ANTI IgM;HAV-Ac IgM (ANTIC.ANTI-HEPAT. A);SUERO;0;No;Si;Si;Electroquimioluminiscencia;;No Reactivo: Menor de 0.80  Indeterminado: Desde 0.80 a 1.10  Reactivo: Igual o mayor de 1.20;;;;
;72;;HAV-Ac IgM (ANTIC.ANTI-HEPAT. A);SUERO;0;Si;Si;Si;Electroquimioluminiscencia;;No Reactivo: Menor de 0.80  Indeterminado: Desde 0.80 a 1.10  Reactivo: Igual o mayor de 1.20;;;;
HBE Ac;69;HEPAT. B - E  ANTIC.ANTI;HBe  ANTI ANTIG E DE HBV;SUERO;0;Si;Si;Si;Electroquimioluminiscencia;;No Reactivo: Mayor de 1.00  Reactivo: Igual o menor de 1.00;;;;
;ACE;;HBe  ANTI ANTIG E DE HBV;SUERO;0;No;Si;Si;Electroquimioluminiscencia;;No Reactivo: Mayor de 1.00  Reactivo: Igual o menor de 1.00;;;;
HBC Ac G;HBC;HEPAT. B Ag. CORE, Ac. IgG;HBc ANTICUERPO ANTI-CORE (IgG);SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor a 1.0 : No Reactivo  Mayor o Igual a 1.0 : Reactivo;;;;
;66;;HBc ANTICUERPO ANTI-CORE (IgG);SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor a 1.0 : No Reactivo  Mayor o Igual a 1.0 : Reactivo;;;;
HBC Ac M;BCM;HEPAT. B Ag. CORE, Ac. IgM;HBc - ANTIC.ANTI CORE HBV (IgM);SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor a 0.80 :No reactivo   0.80 a 0.99 :Indeterminado  Mayor o igual a 1.0 :Reactivo;;;;
;67;;HBc - ANTIC.ANTI CORE HBV (IgM);SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor a 0.80 :No reactivo   0.80 a 0.99 :Indeterminado  Mayor o igual a 1.0 :Reactivo;;;;
HBS Ac;65;HEPAT. B Ag. DE SUP  ANTIC.ANTI;HEPATITIS B ANTIC. ANTI-SUPERFICIE;SUERO;0;Si;Si;Si;Quimioluminiscencia;mUl/ml;No reactivo: Hasta 7,5 mUl/ml  Indeterminado: De 7,6 a 9,9 mUl/ml  Reactivo: Igual o mayor de 10;;;;
;BS;;HEPATITIS B ANTIC. ANTI-SUPERFICIE;SUERO;0;No;Si;Si;Quimioluminiscencia;mUl/ml;No reactivo: Hasta 7,5 mUl/ml  Indeterminado: De 7,6 a 9,9 mUl/ml  Reactivo: Igual o mayor de 10;;;;
HBS Ag;BSA;HEPAT. B ANTIG. DE SUP (HBsAg) (Eli;HEPATITIS B Antig. de SUPERFICIE;SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor de 1.00: No Reactivo   Igual o Mayor de 1.00: Reactivo;;;;
;53;;HEPATITIS B Antig. de SUPERFICIE;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor de 1.00: No Reactivo   Igual o Mayor de 1.00: Reactivo;;;;
HBE Ag;68;HEPAT. B ANTIGENO E;HBeAg- ANTIGENO E de HVB;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor a 1: No Reactivo  Mayor o igual a 1 : Reactivo;;;;
;AGE;;HBeAg- ANTIGENO E de HVB;SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor a 1: No Reactivo  Mayor o igual a 1 : Reactivo;;;;
HCV G;76;HEPAT. C ANTIC.ANTI TOTALES ELISA;HEPATITIS C (HCV) Anticuerpos Anti;SUERO;0;Si;Si;Si;QUIMIOLUMINISCENCIA;;No Reactivo: Menor de 0.80  Indeterminado: Desde 0.80 a 0.99  Reactivo: Igual o mayor de 1.00;;;;
;HCV;;HEPATITIS C (HCV) Anticuerpos Anti;SUERO;0;No;Si;Si;QUIMIOLUMINISCENCIA;;No Reactivo: Menor de 0.80  Indeterminado: Desde 0.80 a 0.99  Reactivo: Igual o mayor de 1.00;;;;
HV1 G;496;HERPES I ANTIC.ANTI IgG ELISA;Antic Anti VIRUS HERPES I;SUERO;0;Si;Si;Si;Electroquimioluminiscencia;;Menor a 0.9 :No Reactivo  de 0.9 a 1.1 : Indeterminado  Mayor a 1.1 : Reactivo;;;;
;H1G;;Antic Anti VIRUS HERPES I;SUERO;0;No;Si;Si;Electroquimioluminiscencia;;Menor a 0.9 :No Reactivo  de 0.9 a 1.1 : Indeterminado  Mayor a 1.1 : Reactivo;;;;
HV12;91;HERPES I Y II ANTIC.ANTI IgM;Antic Anti VIRUS HERPES I Y II (IGM);SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor a 0.9 :Negativo  de 0.9 a 1.1 : Indeterminado  Mayor a 1.1 : Positivo;;;;
;H12M;;Antic Anti VIRUS HERPES I Y II (IGM);SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor a 0.9 :Negativo  de 0.9 a 1.1 : Indeterminado  Mayor a 1.1 : Positivo;;;;
HV2 G;497;HERPES II ANTIC.ANTI IgG ELISA;Antic Anti VIRUS HERPES 2;SUERO;0;Si;Si;Si;Electroquimioluminiscencia;;No Reactivo : menor a 0.9  Indeterminado: de 0.9 a 1.1  Reactivo : mayor a 1.1;;;;
;H2G;;Antic Anti VIRUS HERPES 2;SUERO;0;No;Si;Si;Electroquimioluminiscencia;;No Reactivo : menor a 0.9  Indeterminado: de 0.9 a 1.1  Reactivo : mayor a 1.1;;;;
AHID;705;HIDATIDOSIS AC ANTI;ANTICUERPOS ANTI EQUINOCOCCUS GRANULOSUS (Hidatido;SUERO;0;Si;Si;Si;Inmunofluorescencia indirecta;;;;;;
;705;;ANTICUERPOS ANTI EQUINOCOCCUS GRANULOSUS (Hidatido;SUERO;0;No;Si;Si;Inmunofluorescencia indirecta;;;;;;
HIV;HIV;HIV (SIDA);H.I.V.(I+II) Virus Inmunodef.Humana;SUERO;0;No;Si;Si;Quimioluminiscencia;;Menor o igual a 0.99: No reactivo  Mayor o igual a 1: Reactivo;;;;
;63;;H.I.V.(I+II) Virus Inmunodef.Humana;SUERO;0;Si;Si;Si;Quimioluminiscencia;;Menor o igual a 0.99: No reactivo  Mayor o igual a 1: Reactivo;;;;
HIV CV;HIV-LOG;HIV CARGA VIRAL;Log.10 Nro.copias de ARN viral;P/E.D.T.A;0;No;Si;Si;;;;;;;
;476;;CARGA VIRAL HIV (nro.entero);P/E.D.T.A;0;Si;Si;Si;;copias de ARN viral/;;;;;
;HIV-CV;;CARGA VIRAL HIV (nro.entero);P/E.D.T.A;0;No;Si;Si;;copias de ARN viral/;;;;;
HOM;HOS;HOMOCISTEINA;HOMOCISTEINA PLASMATICA;P/E.D.T.A;0;No;Si;Si;Quimioluminiscencia;umol/l;3.7 a 13.9;;;;
;489;;HOMOCISTEINA PLASMATICA;P/E.D.T.A;0;Si;Si;Si;Quimioluminiscencia;umol/l;3.7 a 13.9;;;;
IGA;537;IGA cadena Alfa;INMUNOGLOBULINA A;SUERO;0;Si;Si;Si;Inmunodifusion radial;mg/dL;Adultos: 90 - 300;NIÑOS:18 MESES -3 AÑOS: 45 - 142;3-7 años 56 - 170 mg/dl  7-9 años 68 210 mg/dl  9-11 años 73-222 mg/dl  11-13 años 81-300;0-1 año: 0 a 83 mg/dL  1-3 años: 20 a 100 mg/dL  4-6 años: 27 a 195 mg/dL  7-9 años: 34 a 305 mg/dL  10-11: años 53 a 204 mg/dL  12-13: años 58 a 358 mg/dL  14-15: años 47 a 249 mg/dL    Adultos: 70 a 400 mg/dL;0-1 año 0.00 a 83 mg/dL  1-3 años 20 a 100 mg/dL  4-6 años 27 a 195 mg/dL  7-9 años 34 a 305 mg/dL  10-11 años 53 a 204 mg/dL  12-13 años 58 a 358 mg/dL  14-15 años 47 a 249 mg/dL  Adultos: 70 a 400
;IGA;;INMUNOGLOBULINA A;SUERO;0;No;Si;Si;Inmunodifusion radial;mg/dL;Adultos: 90 - 300;NIÑOS:18 MESES -3 AÑOS: 45 - 142;3-7 años 56 - 170 mg/dl  7-9 años 68 210 mg/dl  9-11 años 73-222 mg/dl  11-13 años 81-300;0-1 año: 0 a 83 mg/dL  1-3 años: 20 a 100 mg/dL  4-6 años: 27 a 195 mg/dL  7-9 años: 34 a 305 mg/dL  10-11: años 53 a 204 mg/dL  12-13: años 58 a 358 mg/dL  14-15: años 47 a 249 mg/dL    Adultos: 70 a 400 mg/dL;0-1 año 0.00 a 83 mg/dL  1-3 años 20 a 100 mg/dL  4-6 años 27 a 195 mg/dL  7-9 años 34 a 305 mg/dL  10-11 años 53 a 204 mg/dL  12-13 años 58 a 358 mg/dL  14-15 años 47 a 249 mg/dL  Adultos: 70 a 400
IGE;539;IGE;INMUNOGLOBULINA E TOTAL (IgE);SUERO;0;Si;Si;Si;Quimiolumiscencia;UI/ml;Adultos hasta 158 UI/ml  Niños: hasta 1 año: hasta 20 UI/ml  1 a 4 años: hasta 100 UI/ml  5 a 10 años: hasta 150 UI/ml  11 a 15 años.hasta 170;;;;
;IGE;;INMUNOGLOBULINA E TOTAL (IgE);SUERO;0;No;Si;Si;Quimiolumiscencia;UI/ml;Adultos hasta 158 UI/ml  Niños: hasta 1 año: hasta 20 UI/ml  1 a 4 años: hasta 100 UI/ml  5 a 10 años: hasta 150 UI/ml  11 a 15 años.hasta 170;;;;
R AMOXI;IH1;IGE ESPECIFICA AMOXICILINA;RAST especifico para AMOXICILINA;SUERO;0;Si;Si;Si;ELISA;UI/ml;Valor de referencia:  Clase 0: Ausencia de IgE específica  Clase 1:Bajo  Clase 2:Moderado  Clase 3:Alto  Clase 4:Muy Alto;;;;
;IH1;;RAST especifico para AMOXICILINA;SUERO;0;No;Si;Si;ELISA;UI/ml;Valor de referencia:  Clase 0: Ausencia de IgE específica  Clase 1:Bajo  Clase 2:Moderado  Clase 3:Alto  Clase 4:Muy Alto;;;;
R LATEX;LAT-R;IGE ESPECIFICA LATEX;RAST especifico para LATEX;SUERO;0;No;Si;Si;Elisa;UI/ml;;;;;
;IH5;;RAST especifico para LATEX;SUERO;0;Si;Si;Si;Elisa;UI/ml;;;;;
